TopographyDrainage,RiverManagement,Deforestation,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,WetlandLoss,InadequatePlanning,PoliticalFactors,rainfall_today,rainfall_last_3_days,rainfall_last_7_days,flood_reports_24h,waste_reports_24h,population_density,elevation,river_distance,drainage_score,climate_stress_index,drainage_risk_index,development_pressure,ecological_pressure,preparedness_gap,infrastructure_decay,agriculture_pressure,coastal_exposure,target
9,5,6,7,3,8,1,8,5,9,7,1,11,8,3,10,16,26,10,2,3,9,5,13,60,34,6,33,16,7,9,5,62.5
4,7,4,3,6,4,6,11,5,2,12,5,5,6,5,6,11,17,6,7,6,4,7,3,30,17,42,23,17,16,10,5,56.00000000000001
5,4,4,2,8,4,8,3,5,2,1,5,4,3,6,9,16,25,9,2,8,5,4,6,63,17,16,11,6,19,12,5,48.0
5,7,2,6,4,2,3,4,5,8,4,8,6,7,7,7,10,17,7,7,7,5,7,6,21,24,49,20,11,19,5,5,54.0
7,7,4,6,2,6,4,6,8,6,5,5,4,6,7,6,11,17,6,4,5,7,7,4,30,24,20,19,12,14,10,8,53.5
6,6,3,6,7,4,7,6,4,4,7,5,7,4,5,1,5,6,1,2,4,6,6,4,4,22,8,21,10,17,11,4,48.0
4,3,5,5,5,3,2,3,2,1,5,9,7,5,7,5,8,13,5,4,9,4,3,5,15,17,36,18,8,21,5,2,46.0
4,10,6,1,4,8,2,8,4,1,2,8,7,3,4,5,7,12,5,5,6,4,10,3,10,18,30,16,11,16,10,4,46.5
10,11,6,4,4,7,7,4,5,5,6,7,2,5,4,4,8,12,4,4,12,10,11,4,16,29,48,19,9,15,14,5,57.49999999999999
8,2,3,6,3,11,3,7,6,11,6,4,3,4,7,7,9,16,7,5,12,8,2,7,14,23,60,23,11,14,14,6,58.5
6,8,4,4,3,4,7,3,6,2,5,6,8,3,3,6,10,16,6,5,6,6,8,3,24,21,30,19,6,12,11,6,48.0
2,2,6,5,3,4,1,5,1,8,6,3,8,3,2,5,9,14,5,3,7,2,2,3,20,12,21,28,8,8,5,1,40.5
3,4,8,5,3,2,5,3,5,3,8,2,2,3,2,3,6,9,3,1,4,3,4,8,9,20,4,21,6,7,7,5,38.5
9,2,1,5,6,4,7,8,2,1,6,5,1,6,7,5,10,15,5,10,2,9,2,6,25,22,20,9,14,18,11,2,49.0
3,5,1,8,8,4,6,3,2,4,8,8,4,3,4,4,11,15,4,3,7,3,5,3,28,19,21,17,6,20,10,2,47.5
4,4,5,5,3,2,3,4,11,5,7,4,4,4,12,3,7,10,3,9,8,4,4,3,12,16,72,21,8,19,5,11,52.0
2,7,7,11,4,4,1,5,6,8,4,5,8,11,7,4,10,14,4,4,6,2,7,9,24,29,24,27,16,16,5,6,59.5
5,3,4,7,8,5,5,5,3,2,1,6,12,6,7,6,11,17,6,4,6,5,3,7,30,22,24,19,11,21,10,3,53.5
0,8,2,3,3,3,10,2,6,7,6,7,6,2,7,4,7,11,4,6,7,0,8,4,12,15,42,21,4,17,13,6,48.0
7,4,6,6,2,4,4,4,9,7,2,3,7,7,2,3,9,12,3,6,1,7,4,5,18,22,6,22,11,7,8,9,47.5
4,4,11,7,2,1,3,5,5,9,10,4,5,3,4,6,8,14,6,8,4,4,4,7,12,22,32,35,8,10,4,5,52.0
5,2,4,5,6,4,6,9,3,8,5,7,5,6,3,6,9,15,6,6,5,5,2,3,18,15,30,22,15,16,10,3,50.5
6,7,6,4,4,6,6,6,7,4,3,6,5,6,7,7,13,20,7,5,4,6,7,3,42,20,20,18,12,17,12,7,54.0
8,4,3,5,6,5,2,2,8,6,6,8,8,3,4,5,12,17,5,6,10,8,4,6,35,23,60,23,5,18,7,8,56.00000000000001
4,8,2,7,2,15,1,2,0,8,7,4,5,6,5,6,9,15,6,4,6,4,8,4,18,23,24,22,8,11,16,0,49.5
6,4,3,4,2,7,6,6,5,6,6,6,8,5,4,6,11,17,6,6,0,6,4,4,30,18,0,23,11,12,13,5,49.5
1,3,9,5,7,3,5,4,6,5,2,6,5,7,7,5,8,13,5,2,6,1,3,2,15,11,12,21,11,20,8,6,46.5
5,4,5,8,3,6,3,0,9,1,4,6,6,1,1,4,10,14,4,7,6,5,4,5,24,22,42,16,1,10,9,9,45.0
6,4,7,1,2,5,4,4,5,8,5,7,7,8,2,3,9,12,3,4,1,6,4,4,18,15,4,27,12,11,9,5,46.5
3,6,2,3,5,7,7,3,7,6,5,12,3,4,4,2,6,8,2,13,4,3,6,4,8,16,52,16,7,21,14,7,52.0
6,5,6,4,7,3,6,5,5,5,3,2,7,0,2,4,7,11,4,3,10,6,5,3,12,18,30,21,5,11,9,5,44.5
4,5,8,6,9,4,3,3,4,4,4,4,3,7,6,5,9,14,5,2,6,4,5,2,20,17,12,19,10,19,7,4,46.5
7,2,4,4,7,4,5,4,3,0,2,8,8,7,7,8,14,22,8,9,5,7,2,5,48,18,45,14,11,22,9,3,52.5
5,7,6,6,6,4,8,4,1,6,5,7,3,5,5,2,7,9,2,4,4,5,7,3,10,21,16,20,9,18,12,1,48.0
11,3,5,5,6,5,3,3,4,4,7,4,6,4,4,6,15,21,6,7,7,11,3,4,54,23,49,22,7,14,8,4,53.5
3,6,10,5,7,6,8,5,8,7,5,4,3,4,4,4,8,12,4,5,3,3,6,9,16,23,15,25,9,15,14,8,55.00000000000001
6,2,9,5,3,8,6,6,1,10,6,9,6,3,4,1,7,8,1,5,6,6,2,0,6,13,30,31,9,16,14,1,51.0
4,5,10,6,8,8,5,3,6,6,6,3,3,5,7,4,10,14,4,6,6,4,5,5,24,20,36,25,8,18,13,6,56.00000000000001
1,6,2,4,1,7,2,1,6,3,6,5,4,4,3,4,10,14,4,7,8,1,6,4,24,15,56,15,5,9,9,6,42.0
5,7,5,6,5,3,5,6,4,2,4,2,3,3,3,1,8,9,1,8,3,5,7,7,7,25,24,14,9,10,8,4,44.5
7,4,4,2,3,5,4,7,5,6,2,6,3,4,8,4,11,15,4,5,3,7,4,6,28,19,15,15,11,17,9,5,47.5
3,3,3,5,5,9,3,9,3,4,8,3,0,6,5,5,9,14,5,7,5,3,3,3,20,14,35,15,15,13,12,3,46.5
3,6,7,4,3,9,8,3,5,3,10,6,4,2,2,10,17,27,10,10,5,3,6,2,70,15,50,24,5,11,17,5,54.50000000000001
3,3,2,5,2,5,4,3,3,6,2,6,4,5,4,2,10,12,2,5,6,3,3,5,16,16,30,14,8,12,9,3,41.5
6,4,7,1,10,4,6,6,6,3,3,7,5,2,4,9,18,27,9,7,4,6,4,4,81,15,28,18,8,21,10,6,53.5
4,2,5,9,6,2,4,6,5,8,1,5,11,6,3,5,11,16,5,7,7,4,2,6,30,21,49,25,12,14,6,5,54.0
5,5,4,5,4,7,2,2,6,2,3,5,7,1,6,2,10,12,2,3,3,5,5,6,16,21,9,16,3,15,9,6,43.0
8,4,3,7,3,10,5,5,7,4,5,2,5,7,6,1,11,12,1,5,5,8,4,7,10,26,25,17,12,11,15,7,54.50000000000001
7,5,1,5,4,5,1,6,6,8,4,4,4,5,5,6,11,17,6,8,7,7,5,3,30,20,56,17,11,13,6,6,49.5
5,5,6,5,5,6,6,4,7,8,2,5,6,3,5,11,14,25,11,8,6,5,5,7,33,22,48,22,7,15,12,7,56.49999999999999
4,7,5,2,8,8,6,3,6,3,1,7,2,3,4,6,8,14,6,4,2,4,7,5,12,18,8,11,6,19,14,6,44.0
2,7,9,2,6,8,3,6,2,5,6,5,6,2,5,4,11,15,4,3,2,2,7,6,28,17,6,26,8,16,11,2,48.0
5,7,5,6,6,8,7,4,5,6,7,5,3,9,6,5,7,12,5,3,11,5,7,7,10,25,33,21,13,17,15,5,58.5
3,1,0,5,4,7,4,7,11,1,4,4,2,4,4,7,12,19,7,7,7,3,1,7,35,16,49,7,11,12,11,11,47.0
6,7,9,3,7,6,3,4,5,2,6,10,7,6,10,4,11,15,4,3,3,6,7,3,28,19,9,24,10,27,9,5,55.50000000000001
6,4,5,3,5,4,3,4,3,4,7,2,6,5,6,4,8,12,4,4,3,6,4,4,16,17,12,22,9,13,7,3,43.0
10,7,6,2,7,2,6,5,3,6,7,4,5,2,3,8,12,20,8,8,4,10,7,3,32,22,32,24,7,14,8,3,51.0
7,2,6,2,5,3,9,5,3,2,5,3,3,2,2,3,10,13,3,2,5,7,2,4,21,15,10,16,7,10,12,3,40.0
6,6,3,3,6,6,8,7,2,6,2,5,6,6,2,3,8,11,3,7,7,6,6,9,15,24,49,17,13,13,14,2,52.5
7,7,7,6,4,7,2,7,7,4,2,7,6,6,5,5,10,15,5,4,1,7,7,4,25,24,4,19,13,16,9,7,51.5
3,7,4,5,11,4,7,0,5,6,9,6,2,1,3,5,9,14,5,9,7,3,7,7,20,22,63,21,1,20,11,5,52.5
4,10,3,2,8,5,6,8,5,4,3,4,12,5,5,6,10,16,6,6,4,4,10,8,24,24,24,22,13,17,11,5,56.00000000000001
6,6,8,3,7,4,4,7,6,2,8,1,4,2,3,7,12,19,7,4,1,6,6,6,35,21,4,22,9,11,8,6,47.0
3,3,5,6,5,5,4,8,6,4,7,6,3,6,4,6,12,18,6,2,2,3,3,8,36,20,4,19,14,15,9,6,49.5
1,7,5,6,6,4,6,7,8,7,4,4,5,5,4,4,10,14,4,5,6,1,7,3,24,17,30,21,12,14,10,8,51.5
9,6,4,3,8,1,4,4,7,5,4,5,9,4,11,10,16,26,10,4,4,9,6,4,60,22,16,22,8,24,5,7,56.00000000000001
6,3,12,5,2,2,6,10,7,4,3,5,4,2,8,6,11,17,6,9,8,6,3,4,30,18,72,23,12,15,8,7,55.50000000000001
5,11,5,6,5,6,6,5,4,9,4,10,5,7,9,8,19,27,8,3,7,5,11,8,88,30,21,23,12,24,12,4,67.0
5,2,9,6,6,9,2,4,6,8,4,7,3,4,5,5,10,15,5,2,10,5,2,6,25,19,20,24,8,18,11,6,54.0
9,4,7,1,5,4,5,3,9,6,4,7,3,9,4,5,11,16,5,5,0,9,4,7,30,21,0,20,12,16,9,9,51.5
5,4,4,4,4,2,6,6,5,7,14,7,3,9,2,2,3,5,2,5,9,5,4,4,2,17,45,28,15,13,8,5,51.5
6,7,4,8,5,4,4,10,9,1,5,9,6,5,3,3,11,14,3,6,4,6,7,2,24,23,24,16,15,17,8,9,54.50000000000001
5,4,7,1,1,7,7,4,10,3,2,6,7,2,3,2,6,8,2,9,10,5,4,6,8,16,90,19,6,10,14,10,50.0
5,3,6,7,5,6,5,1,7,5,6,6,6,6,3,6,14,20,6,4,5,5,3,7,48,22,20,23,7,14,11,7,53.5
9,5,10,3,6,3,6,6,5,3,4,3,3,4,6,5,7,12,5,3,5,9,5,7,10,24,15,20,10,15,9,5,49.0
7,3,7,3,8,3,7,3,8,4,3,3,7,7,12,2,10,12,2,3,2,7,3,8,16,21,6,21,10,23,10,8,54.0
4,4,4,4,8,2,5,1,5,2,6,2,8,3,3,3,9,12,3,3,3,4,4,3,18,15,9,20,4,13,7,5,39.5
6,9,5,4,2,3,9,2,6,2,9,6,5,5,2,3,6,9,3,6,6,6,9,5,9,24,36,21,7,10,12,6,49.0
3,3,7,2,3,5,8,5,5,4,9,5,7,8,8,4,6,10,4,6,6,3,3,2,8,10,36,27,13,16,13,5,51.0
2,2,5,5,7,5,2,6,6,6,7,5,2,5,6,9,14,23,9,2,4,2,2,4,45,13,8,20,11,18,7,6,47.5
3,3,2,3,5,6,4,4,5,2,8,5,5,4,5,5,9,14,5,5,5,3,3,4,20,13,25,17,8,15,10,5,43.5
7,2,5,6,3,4,2,5,4,7,4,9,6,8,9,3,6,9,3,5,7,7,2,5,9,20,35,22,13,21,6,4,52.0
3,4,6,3,5,6,3,4,6,9,6,10,6,8,6,7,16,23,7,5,0,3,4,5,63,15,0,27,12,21,9,6,55.50000000000001
7,6,4,5,7,2,5,5,8,5,3,2,5,6,8,3,13,16,3,6,7,7,6,6,30,24,42,17,11,17,7,8,55.00000000000001
4,3,0,3,3,3,4,6,8,7,3,5,4,4,2,3,10,13,3,7,7,4,3,7,21,17,49,14,10,10,7,8,45.0
7,3,1,3,5,6,12,9,6,2,5,3,6,9,7,4,8,12,4,5,4,7,3,6,16,19,20,14,18,15,18,6,53.5
3,8,6,4,2,4,4,9,4,9,6,4,0,5,7,5,12,17,5,6,3,3,8,4,35,19,18,21,14,13,8,4,50.0
3,7,4,6,5,6,7,4,9,9,7,4,7,7,9,8,15,23,8,3,7,3,7,2,56,18,21,27,11,18,13,9,60.5
4,5,5,7,10,5,2,7,2,3,3,2,6,3,6,7,15,22,7,8,7,4,5,5,56,21,56,17,10,18,7,2,52.5
5,3,3,6,5,3,7,3,8,5,4,6,3,3,4,4,12,16,4,5,2,5,3,6,32,20,10,15,6,15,10,8,46.5
4,6,5,6,4,10,3,4,3,3,10,6,4,7,3,5,8,13,5,5,8,4,6,6,15,22,40,22,11,13,13,3,52.5
4,7,4,11,5,6,5,8,1,11,5,5,8,7,3,6,8,14,6,7,5,4,7,5,12,27,35,28,15,13,11,1,57.49999999999999
4,8,5,5,2,3,5,5,5,4,3,4,7,12,7,7,10,17,7,3,9,4,8,3,21,20,27,19,17,13,8,5,52.0
3,7,7,5,4,9,6,3,5,5,5,3,3,1,9,2,9,11,2,6,2,3,7,5,14,20,12,20,4,16,15,5,48.5
4,2,3,3,6,5,1,6,7,3,5,3,3,5,1,6,9,15,6,2,4,4,2,3,18,12,8,14,11,10,6,7,37.5
4,4,4,1,8,2,8,8,4,1,9,6,4,3,4,9,14,23,9,3,2,4,4,5,45,14,6,18,11,18,10,4,47.0
5,5,8,2,7,5,2,5,4,7,1,9,6,4,7,6,10,16,6,2,9,5,5,4,24,16,18,22,9,23,7,4,51.0
3,5,2,4,7,6,7,6,8,4,9,2,8,4,6,5,6,11,5,6,5,3,5,3,5,15,30,23,10,15,13,8,50.5
4,7,3,5,5,6,4,9,3,4,6,5,8,6,5,5,6,11,5,5,3,4,7,10,5,26,15,21,15,15,10,3,52.0
0,7,5,4,5,8,5,3,3,3,9,4,4,3,2,5,14,19,5,7,4,0,7,2,45,13,28,21,6,11,13,3,46.0
4,1,4,9,6,8,8,8,8,3,5,4,3,8,4,8,10,18,8,5,5,4,1,5,16,19,25,15,16,14,16,8,54.0
5,4,8,4,5,10,2,6,2,3,10,4,4,8,7,4,13,17,4,5,4,5,4,5,36,18,20,25,14,16,12,2,54.50000000000001
4,4,3,8,8,6,7,4,6,5,8,5,8,4,6,5,7,12,5,7,5,4,4,3,10,19,35,24,8,19,13,6,54.0
8,6,2,8,7,7,4,5,6,3,9,4,9,7,3,3,6,9,3,9,4,8,6,6,9,28,36,23,12,14,11,6,56.49999999999999
7,5,3,4,7,7,6,9,7,4,3,7,3,1,4,5,9,14,5,8,4,7,5,9,20,25,32,13,10,18,13,7,53.5
4,6,4,5,4,2,5,2,14,4,6,7,4,4,8,6,13,19,6,7,4,4,6,6,42,21,28,18,6,19,7,14,54.50000000000001
3,2,2,11,6,4,7,5,4,6,5,8,5,3,3,8,13,21,8,5,6,3,2,6,40,22,30,18,8,17,11,4,52.0
5,8,3,2,3,8,7,3,3,7,5,2,3,6,2,8,15,23,8,1,4,5,8,5,56,20,4,18,9,7,15,3,46.0
3,2,3,7,5,2,4,2,4,6,7,2,3,2,3,1,4,5,1,6,4,3,2,4,3,16,24,19,4,10,6,4,36.5
10,4,6,7,7,4,5,0,6,6,5,4,3,8,4,6,8,14,6,3,6,10,4,8,12,29,18,20,8,15,9,6,52.0
3,5,2,7,5,4,6,3,10,7,5,2,5,4,6,8,14,22,8,9,3,3,5,5,48,20,27,19,7,13,10,10,52.5
0,6,5,0,4,7,4,3,7,5,4,1,7,2,3,6,10,16,6,3,6,0,6,8,24,14,18,21,5,8,11,7,42.5
12,4,6,4,7,7,8,4,4,4,5,8,3,7,6,2,10,12,2,7,3,12,4,2,16,22,21,18,11,21,15,4,55.50000000000001
4,1,7,0,5,2,5,3,2,4,4,6,2,8,4,4,8,12,4,1,6,4,1,3,16,8,6,17,11,15,7,2,37.5
3,9,8,5,9,9,6,3,4,6,5,5,5,6,4,9,15,24,9,2,3,3,9,5,54,22,6,24,9,18,15,4,56.00000000000001
9,2,4,8,3,6,4,5,4,11,5,5,6,3,6,3,11,14,3,3,4,9,2,6,24,25,12,26,8,14,10,4,52.5
4,1,5,4,3,4,4,6,5,5,6,3,8,5,3,2,8,10,2,2,5,4,1,7,12,16,10,24,11,9,8,5,44.0
9,4,6,5,7,3,3,1,10,5,7,1,8,6,9,4,11,15,4,4,3,9,4,9,28,27,12,26,7,17,6,10,55.50000000000001
3,3,6,4,4,4,3,3,7,4,8,8,5,7,4,3,8,11,3,8,8,3,3,3,15,13,64,23,10,16,7,7,50.0
9,6,2,3,7,2,9,10,5,5,4,8,6,9,4,3,9,12,3,3,5,9,6,6,18,24,15,17,19,19,11,5,56.00000000000001
6,6,1,7,5,8,1,5,7,8,6,2,9,3,6,9,21,30,9,6,5,6,6,7,108,26,30,24,8,13,9,7,59.5
4,7,6,2,7,4,9,5,7,4,5,5,7,6,4,2,6,8,2,3,1,4,7,11,8,24,3,22,11,16,13,7,51.5
2,1,4,7,5,6,6,2,1,5,6,5,4,4,5,4,6,10,4,10,5,2,1,7,8,17,50,19,6,15,12,1,45.5
8,4,7,7,2,3,6,4,1,5,2,4,8,4,8,2,6,8,2,8,4,8,4,4,8,23,32,22,8,14,9,1,47.5
4,6,9,4,4,2,5,10,6,5,2,5,5,10,6,3,8,11,3,7,3,4,6,8,15,22,21,21,20,15,7,6,54.50000000000001
5,6,9,1,5,6,9,9,7,6,2,5,3,1,8,9,12,21,9,8,5,5,6,7,27,19,40,20,10,18,15,7,56.99999999999999
6,6,8,6,2,6,4,5,6,4,9,3,2,7,4,3,10,13,3,4,3,6,6,2,21,20,12,23,12,9,10,6,48.5
10,3,17,9,6,3,4,1,3,5,6,1,5,6,7,1,7,8,1,4,2,10,3,2,6,24,8,33,7,14,7,3,50.5
3,4,6,7,9,7,7,4,3,8,8,4,5,10,9,6,14,20,6,5,4,3,4,9,48,23,20,27,14,22,14,3,63.0
7,5,6,5,3,3,8,11,3,7,6,8,8,3,3,5,10,15,5,5,3,7,5,7,25,24,15,27,14,14,11,3,55.50000000000001
3,3,4,5,5,8,4,10,3,5,3,5,4,3,2,4,8,12,4,6,2,3,3,3,16,14,12,16,13,12,12,3,43.0
4,5,6,4,3,4,2,1,3,3,7,5,6,6,10,8,10,18,8,6,6,4,5,7,16,20,36,22,7,18,6,3,49.0
4,5,2,1,4,5,3,8,7,6,3,3,3,5,4,6,6,12,6,8,4,4,5,5,0,15,32,14,13,11,8,7,43.0
4,4,9,2,4,7,7,2,4,3,5,5,5,10,2,4,9,13,4,8,6,4,4,6,20,16,48,22,12,11,14,4,51.0
4,1,5,4,3,8,8,9,4,5,4,3,4,4,4,7,8,15,7,7,9,4,1,8,7,17,63,18,13,10,16,4,51.0
4,4,3,3,4,2,3,5,5,4,6,5,5,5,5,6,12,18,6,7,3,4,4,5,36,16,21,18,10,14,5,5,45.0
1,9,4,1,3,3,5,3,2,5,5,10,8,6,3,4,11,15,4,6,6,1,9,7,28,18,36,22,9,16,8,2,49.0
6,6,1,4,8,8,7,4,3,8,4,8,6,8,6,6,9,15,6,4,8,6,6,7,18,23,32,19,12,22,15,3,57.49999999999999
8,7,4,5,10,6,5,5,8,5,4,8,6,6,4,6,15,21,6,3,3,8,7,7,54,27,9,19,11,22,11,8,59.5
1,4,3,5,5,3,5,6,3,4,2,5,10,2,4,3,5,8,3,4,4,1,4,6,6,16,16,19,8,14,8,3,40.5
6,2,6,5,8,8,4,3,4,8,2,5,2,2,3,6,10,16,6,5,4,6,2,4,24,17,20,18,5,16,12,4,45.5
12,8,8,6,5,11,8,2,6,3,10,5,4,5,4,6,12,18,6,4,3,12,8,3,36,29,12,25,7,14,19,6,59.5
5,5,1,7,6,5,5,5,8,3,5,5,7,4,3,6,10,16,6,10,0,5,5,10,24,27,0,16,9,14,10,8,52.0
3,8,7,8,5,8,4,6,6,8,5,2,4,3,7,5,10,15,5,9,3,3,8,4,25,23,27,24,9,14,12,6,55.00000000000001
6,6,5,4,6,2,9,6,8,3,6,3,4,5,4,9,19,28,9,5,10,6,6,1,90,17,50,18,11,13,11,8,56.00000000000001
9,3,12,2,8,5,7,7,8,3,9,4,6,2,10,6,10,16,6,7,6,9,3,7,24,21,42,30,9,22,12,8,62.5
8,7,3,5,6,6,4,4,6,8,8,5,7,5,5,10,18,28,10,3,5,8,7,2,80,22,15,26,9,16,10,6,57.49999999999999
2,5,6,3,5,3,4,5,6,2,5,4,5,4,7,4,9,13,4,5,4,2,5,4,20,14,20,18,9,16,7,6,44.0
5,1,7,8,4,3,9,3,4,4,1,7,2,2,5,4,7,11,4,5,1,5,1,10,12,24,5,14,5,16,12,4,44.0
8,4,6,10,3,5,6,7,7,7,4,3,5,5,2,6,11,17,6,4,2,8,4,8,30,30,8,22,12,8,11,7,53.5
5,5,3,5,3,3,2,7,6,10,6,6,9,3,3,1,4,5,1,6,2,5,5,3,3,18,12,28,10,12,5,6,45.5
6,4,4,3,4,4,8,3,6,2,4,7,5,6,4,7,11,18,7,14,4,6,4,3,28,16,56,15,9,15,12,6,51.0
2,6,3,5,5,4,4,5,7,2,5,4,7,3,6,8,12,20,8,5,2,2,6,3,32,16,10,17,8,15,8,7,45.0
6,6,2,1,10,2,8,13,4,7,4,10,4,1,3,6,11,17,6,4,3,6,6,4,30,17,12,17,14,23,10,4,51.5
3,8,3,4,8,10,5,5,7,6,3,3,4,6,7,5,12,17,5,3,7,3,8,7,35,22,21,16,11,18,15,7,55.50000000000001
6,5,4,7,6,3,2,3,4,6,5,6,5,5,6,9,12,21,9,5,5,6,5,4,27,22,25,20,8,18,5,4,49.5
4,8,8,6,3,5,5,3,4,4,2,5,6,5,5,4,9,13,4,6,6,4,8,9,20,27,36,20,8,13,10,4,51.5
10,8,4,1,3,3,6,7,5,5,4,5,6,5,5,9,15,24,9,4,2,10,8,6,54,25,8,19,12,13,9,5,52.0
5,4,4,4,8,6,8,1,5,6,5,4,5,7,8,4,10,14,4,4,5,5,4,3,24,16,20,20,8,20,14,5,51.0
6,2,5,4,6,6,4,2,4,7,6,4,4,3,5,6,13,19,6,9,4,6,2,1,42,13,36,22,5,15,10,4,47.5
6,6,3,3,5,2,3,5,4,5,6,5,5,5,9,3,10,13,3,6,7,6,6,7,21,22,42,19,10,19,5,4,51.0
4,5,7,5,5,5,8,4,2,3,4,5,2,3,4,5,7,12,5,8,5,4,5,6,10,20,40,16,7,14,13,2,46.0
6,6,5,4,2,5,6,7,6,6,6,6,8,7,5,5,8,13,5,3,2,6,6,4,15,20,6,25,14,13,11,6,51.0
4,3,3,6,5,2,5,4,8,3,4,6,6,4,5,2,8,10,2,2,7,4,3,8,12,21,14,16,8,16,7,8,46.5
7,6,4,4,5,6,0,4,4,7,7,3,6,7,8,8,15,23,8,7,7,7,6,4,56,21,49,24,11,16,6,4,55.50000000000001
7,6,4,10,1,3,2,5,4,4,2,10,5,5,3,4,11,15,4,7,6,7,6,1,28,24,42,15,10,14,5,4,48.0
2,10,6,4,5,3,3,2,7,3,7,6,7,4,1,4,7,11,4,3,4,2,10,1,12,17,12,23,6,12,6,7,42.5
4,5,7,7,5,5,4,6,3,6,4,4,6,3,8,4,9,13,4,4,6,4,5,7,20,23,24,23,9,17,9,3,51.5
5,10,6,4,6,5,6,5,3,8,5,6,5,5,9,5,10,15,5,6,3,5,10,4,25,23,18,24,10,21,11,3,55.50000000000001
9,3,5,2,6,4,2,3,9,0,5,5,4,7,4,3,11,14,3,7,3,9,3,5,24,19,21,14,10,15,6,9,47.0
9,5,2,3,2,6,3,9,9,5,6,3,4,5,4,2,10,12,2,2,3,9,5,4,16,21,6,17,14,9,9,9,47.0
2,4,5,7,10,2,2,3,4,3,5,7,5,4,5,2,9,11,2,3,5,2,4,5,14,18,15,18,7,22,4,4,45.0
9,6,5,3,4,3,2,2,2,8,5,6,3,7,8,7,11,18,7,3,6,9,6,5,28,23,18,21,9,18,5,2,49.0
3,3,6,4,1,2,7,5,4,2,4,7,1,8,3,2,5,7,2,2,8,3,3,5,6,15,16,13,13,11,9,4,40.0
3,5,5,7,5,8,4,5,4,9,6,5,3,6,5,2,5,7,2,5,7,3,5,7,6,22,35,23,11,15,12,4,52.0
7,0,6,4,8,6,7,5,1,6,6,3,5,6,4,4,9,13,4,7,6,7,0,1,20,12,42,23,11,15,13,1,48.5
5,5,5,5,4,8,5,5,7,7,7,4,2,6,5,6,11,17,6,7,7,5,5,6,30,21,49,21,11,13,13,7,55.50000000000001
6,8,5,5,5,2,6,3,5,7,5,1,2,9,5,3,8,11,3,4,6,6,8,4,15,23,24,19,12,11,8,5,48.0
5,6,7,5,11,5,4,6,4,6,2,4,7,7,6,4,6,10,4,2,4,5,6,3,8,19,8,22,13,21,9,4,50.0
8,3,5,4,6,4,7,3,7,4,6,1,5,6,2,2,6,8,2,5,10,8,3,5,8,20,50,20,9,9,11,7,48.5
1,6,3,6,4,4,7,3,4,3,2,1,4,5,3,1,7,8,1,6,10,1,6,3,6,16,60,12,8,8,11,4,41.0
1,5,6,4,4,4,2,5,3,5,3,5,4,5,6,9,13,22,9,4,7,1,5,5,36,15,28,18,10,15,6,3,45.5
6,3,5,4,5,6,4,7,5,5,3,7,9,10,5,2,5,7,2,5,3,6,3,3,6,16,15,22,17,17,10,5,50.0
6,5,9,4,5,6,3,4,4,5,6,7,8,7,3,5,9,14,5,6,7,6,5,6,20,21,42,28,11,15,9,4,55.00000000000001
3,9,7,3,5,3,4,5,8,2,7,5,4,3,8,10,12,22,10,5,6,3,9,9,20,24,30,20,8,18,7,8,54.0
8,3,5,2,3,5,5,2,1,6,7,8,3,7,3,6,8,14,6,5,5,8,3,4,12,17,25,21,9,14,10,1,45.0
3,7,3,5,4,7,11,4,4,2,3,8,9,3,6,5,11,16,5,6,4,3,7,6,30,21,24,17,7,18,18,4,53.0
7,6,3,5,2,6,5,6,3,2,5,3,5,6,7,5,10,15,5,2,1,7,6,4,25,22,2,15,12,12,11,3,44.0
9,6,5,9,4,3,6,8,2,7,5,5,5,12,2,2,9,11,2,5,7,9,6,4,14,28,35,22,20,11,9,2,56.49999999999999
1,4,9,5,9,4,5,5,5,6,4,6,6,9,6,3,8,11,3,4,4,1,4,4,15,14,16,25,14,21,9,5,52.0
9,6,1,7,8,3,7,5,4,8,3,9,5,4,4,4,10,14,4,9,4,9,6,4,24,26,36,17,9,21,10,4,55.00000000000001
3,6,5,3,4,2,5,7,3,5,4,4,6,4,8,3,5,8,3,6,4,3,6,9,6,21,24,20,11,16,7,3,46.5
2,2,5,3,8,6,5,3,5,5,1,3,2,3,3,5,11,16,5,5,2,2,2,5,30,12,10,13,6,14,11,5,39.5
5,2,4,8,1,4,6,8,5,10,4,9,6,3,4,3,10,13,3,2,5,5,2,4,21,19,10,24,11,14,10,5,50.0
4,7,7,3,5,3,6,0,8,3,6,2,5,5,3,4,11,15,4,9,5,4,7,4,28,18,45,21,5,10,9,8,48.0
5,7,2,5,4,7,3,3,6,4,5,4,8,5,8,7,12,19,7,4,5,5,7,5,35,22,20,19,8,16,10,6,51.0
7,3,4,2,10,3,4,6,7,6,8,7,7,6,1,6,13,19,6,3,8,7,3,9,42,21,24,25,12,18,7,7,56.99999999999999
8,8,4,2,5,5,6,4,4,6,5,5,6,11,6,8,18,26,8,7,4,8,8,5,80,23,28,21,15,16,11,4,59.5
6,4,5,8,2,5,4,4,3,1,2,1,2,10,1,5,9,14,5,5,10,6,4,8,20,26,50,10,14,4,9,3,45.0
